URL,Title,Date,Status,HTML File,Reader File,Markdown File,JSON File
https://www.nytimes.com/2025/03/26/opinion/young-maga-trump-vote.html,This Is Why Young People Really Voted for Trump,2025-03-26 13:06:15,Success,Yes,Yes,Yes,Yes
https://www.nytimes.com/2025/03/20/us/politics/aoc-bernie-sanders-vegas-denver.html,Alexandria Ocasio-Cortez Puts Her Own Spin on Bernie Sanders’s Pitch,2025-03-21 14:17:35,Success,Yes,Yes,Yes,Yes
https://www.vox.com/politics/403364/tik-tok-young-voters-2024-election-democrats-david-shor,This is why Kamala Harris really lost,2025-03-18 05:30:24,Failed,No,No,No,No
https://finance.yahoo.com/news/darker-dark-pool-welcome-wall-210011026.html,Darker Than a Dark Pool? Welcome to Wall Street’s ‘Private Rooms’,2025-03-16 17:47:34,Failed,No,No,No,No
https://daringfireball.net/2025/03/something_is_rotten_in_the_state_of_cupertino,Something Is Rotten in the State of Cupertino,2025-03-14 05:32:52,Success,Yes,Yes,Yes,Yes
https://substack.com/home/post/p-158566388,The Bully In His Pulpit,2025-03-10 16:43:49,Success,Yes,Yes,Yes,Yes
https://www.chinatalk.media/p/ban-the-h20-competing-in-the-inference,Ban the H20: Competing in the Inference Age,2025-03-09 17:44:04,Failed,No,No,No,No
https://slate.com/life/2025/03/donald-trump-divorce-marriage-politics-men-women.html,I Followed Three Women Who Wanted to Divorce Their Trump-Supporting Husbands. I Can’t Believe Where They Ended Up.,2025-03-06 10:42:55,Failed,No,No,No,No
https://www.nytimes.com/interactive/2025/03/04/opinion/covid-impact-five-years-later.html,"Opinion | How Covid Remade Our America, Five Years Later",2025-03-04 21:13:07,Failed,No,No,No,No
https://www.theatlantic.com/ideas/archive/2025/02/jobs-unemployment-big-freeze/681831/,The Job Market Is Frozen,2025-02-27 11:58:40,Failed,No,No,No,No
https://www.theatlantic.com/magazine/archive/2025/03/american-geographic-social-mobility/681439/,How Progressives Froze the American Dream,2025-02-25 13:21:28,Failed,No,No,No,No
https://12ft.io/proxy,12ft,2025-02-25 13:20:46,Success,Yes,Yes,Yes,Yes
https://nymag.com/intelligencer/article/how-is-wealth-transferred-generational-money-kids-children.html,The Sneaky Ways Parents Transfer Money to Their Adult Children,2025-02-23 10:42:32,Failed,No,No,No,No
https://www.buzzfeed.com/jonah/the-anti-snarf-manifesto,The Anti-SNARF Manifesto,2025-02-21 15:52:12,Failed,No,No,No,No
https://www.removepaywall.com/search,RemovePaywall | Free online paywall remover,2025-02-17 10:43:40,Failed,No,No,No,No
https://www.wsj.com/politics/policy/how-zoning-ruined-the-housing-market-in-blue-state-america-3fa94568,Essay | How Zoning Ruined the Housing Market in Blue-State America,2025-02-16 13:58:13,Success,Yes,Yes,Yes,Yes
https://www.esquire.com/news-politics/a63613007/young-men-america-2025/,How Do Young Men See the World? We Asked Them.,2025-02-14 12:05:30,Failed,No,No,No,No
https://www.wsj.com/opinion/trumps-plan-to-free-the-palestinians-gaza-strip-foreign-policy-middle-east-87ae687d,Opinion | Trump’s Plan to Free Palestinians From Gaza,2025-02-05 15:37:49,Success,Yes,Yes,Yes,Yes
https://www.nytimes.com/2025/02/02/magazine/weight-loss-side-effects-sex-ozempic.html,How Weight-Loss Drugs Can Upend a Marriage,2025-02-03 11:03:49,Success,Yes,Yes,Yes,Yes
https://www.thenation.com/article/society/progressive-left-philanthropy-strategy/,Left Organizing Is in Crisis. Philanthropy Is a Major Reason Why.,2025-01-16 15:29:49,Success,Yes,Yes,Yes,Yes
https://www.madfientist.com/how-to-access-retirement-funds-early/,How to Access Retirement Funds Early,2025-01-11 11:34:01,Success,Yes,Yes,Yes,Yes
https://archive.md/cJY3B,Can the rich world escape its baby crisis?,2025-01-03 16:40:24,Failed,No,No,No,No
https://www.nplusonemag.com/issue-49/essays/casual-viewing/,Casual Viewing | Will Tavlin,2024-12-29 17:17:04,Failed,No,No,No,No
https://www.essesmag.com/articles/the-tao-of-a-tv-lifer,The Tao of a TV Lifer,2024-12-22 20:33:33,Failed,No,No,No,No
https://onlinelibrary.wiley.com/doi/10.1111/apa.14841,<em>Acta Paediatrica</em> | Paediatrics Journal | Wiley Online Library,2024-12-19 08:40:35,Success,Yes,Yes,Yes,Yes
https://www.wheresyoured.at/never-forgive-them/,Never Forgive Them,2024-12-16 12:01:31,Failed,No,No,No,No
https://aeon.co/essays/when-ai-summaries-replace-hyperlinks-thought-itself-is-flattened,"When AI summaries replace hyperlinks, thought itself is flattened | Aeon Essays",2024-12-07 17:30:16,Failed,No,No,No,No
https://newsletter.weskao.com/p/how-to-give-a-senior-leader-feedback-without-getting-fired,How to give a senior leader feedback (without getting fired),2024-11-20 07:28:54,Failed,No,No,No,No
https://www.nytimes.com/interactive/2024/10/17/t-magazine/theaster-gates-chicago-art-multidisciplinary.html,Theaster Gates Is Redefining What It Means to Be an Artist,2024-10-25 10:55:55,Failed,No,No,No,No
https://www.parents.com/toddlers-preschoolers/development/behavioral/the-surprising-secret-to-raising-a-well-behaved-kid/,The Surprising Secret to Raising a Well-Behaved Kid,2024-10-25 10:51:52,Success,Yes,Yes,Yes,Yes
https://www.nytimes.com/2024/10/19/magazine/mia-khalifa-interview.html,"‘The Interview’: Mia Khalifa’s Messy World of Money, Sex and Activism",2024-10-19 16:51:22,Success,Yes,Yes,Yes,Yes
https://www.nytimes.com/2024/10/10/t-magazine/chefs-without-restaurants.html,Why So Many Chefs Don’t Want Restaurants Anymore,2024-10-10 13:35:04,Failed,No,No,No,No
https://www.theguardian.com/us-news/ng-interactive/2024/oct/05/israel-gaza-october-7-memorials,How Israel has made trauma a weapon of war,2024-10-05 15:52:11,Failed,No,No,No,No
https://techpolicy.press/challenging-the-myths-of-generative-ai,Challenging The Myths of Generative AI | TechPolicy.Press,2024-09-29 20:53:45,Failed,No,No,No,No
https://www.quantamagazine.org/the-unraveling-of-space-time-20240925/,The Unraveling of Space-Time | Quanta Magazine,2024-09-29 19:58:29,Success,Yes,Yes,Yes,Yes
https://bldgblog.com/2007/10/greater-los-angeles/,Greater Los Angeles,2024-09-25 13:26:11,Failed,No,No,No,No
https://www.nytimes.com/2024/09/09/business/red-lobster-seafood-downfall.html?smid=nytcore-ios-share&referringSource=articleShare&sgrp=c-cb,"Greed, Gluttony and the Crackup of Red Lobster",2024-09-09 12:43:58,Failed,No,No,No,No
